lnSa,lnSaRatio,lnDs,lnSDR1,lnSDR2,lnSDR3,lnSDR4,lnSDR5,lnSDR6,lnSDR7,lnSDR8,lnSDR9,lnSDR10,lnSDR11,lnSDR12,lnPFA1,lnPFA2,lnPFA3,lnPFA4,lnPFA5,lnPFA6,lnPFA7,lnPFA8,lnPFA9,lnPFA10,lnPFA11,lnPFA12
-1.560647748,-0.282804827,2.118662255,-3.01697021,-3.062556071,-3.547081325,-4.502983702,-5.175406169,-5.534363803,-5.32099047,-5.05307735,-4.864990689,-4.900647899,-5.261499538,-6.078714498,-0.407102033,-0.531591418,-0.802053647,-0.960757504,-0.993042006,-1.080990688,-1.081616895,-1.054799899,-1.05416796,-1.29776467,-1.100914859,-0.918235123
-2.302585093,-0.230567088,2.717340248,-5.450003419,-5.290162706,-5.501207412,-5.732574001,-5.881932345,-6.007122495,-6.094157513,-6.131678792,-6.164913581,-6.35793012,-6.661786223,-7.104323844,-2.42948297,-2.283310762,-2.087047707,-2.061020189,-2.119448019,-2.060058485,-2.121014918,-2.1770084,-2.251700457,-2.135070893,-2.122770342,-1.974237681
-1.609437912,-0.230567088,2.717340248,-4.343113661,-4.190388611,-4.402433444,-4.875028058,-5.38774548,-5.672103591,-5.761652083,-5.795243372,-5.752806766,-5.875297038,-6.147847049,-6.621261412,-1.823817213,-1.784486833,-1.667641708,-1.685350554,-1.796098316,-1.65873073,-1.609799283,-1.758829797,-1.913599672,-1.802111232,-1.661945154,-1.435732754
-1.560647748,-0.230567088,2.717340248,-4.08788348,-4.009724041,-4.254928894,-4.735064771,-5.355061278,-5.680779093,-5.772232636,-5.724379137,-5.696990592,-5.830223634,-6.118230307,-6.599697214,-1.759512693,-1.710813456,-1.765103164,-1.803839913,-1.867380985,-1.747515831,-1.622061941,-1.641430935,-1.891776434,-1.792109178,-1.637365065,-1.428077276
-1.514127733,-0.230567088,2.717340248,-3.745293204,-3.775727935,-4.080690209,-4.589021284,-5.19551893,-5.571957162,-5.698123517,-5.664961842,-5.643120206,-5.791231038,-6.098315061,-6.585976174,-1.487375004,-1.578901423,-1.775326472,-1.77515986,-1.816021908,-1.764522294,-1.737892488,-1.709364143,-1.864667755,-1.799722718,-1.623753833,-1.42173395
-1.46967597,-0.230567088,2.717340248,-3.464495073,-3.415529599,-3.657725808,-4.410640124,-5.137021985,-5.575196666,-5.602145081,-5.612839088,-5.594870672,-5.753831281,-6.079714509,-6.574746175,-1.4453369,-1.728274823,-1.731646519,-1.742723655,-1.689180439,-1.680055482,-1.705235389,-1.747249739,-1.763461261,-1.775156803,-1.598087142,-1.409660815
-1.427116356,-0.230567088,2.717340248,-3.635581371,-3.555468069,-3.709743605,-4.056626901,-4.713905278,-5.502872262,-5.518480364,-5.560807439,-5.54839028,-5.720768931,-6.061179108,-6.562939376,-1.566065637,-1.529951212,-1.682932241,-1.714073491,-1.643255071,-1.596767932,-1.700922085,-1.703930762,-1.806514254,-1.794722675,-1.586047464,-1.382538667
-1.386294361,-0.230567088,2.717340248,-3.767649971,-3.649928008,-3.786055774,-4.103207724,-4.598939636,-5.267958884,-5.443787168,-5.463755848,-5.50218539,-5.688114855,-6.049309785,-6.554896608,-1.509621877,-1.67692232,-1.674937615,-1.66641946,-1.665090537,-1.568814851,-1.68091472,-1.696118768,-1.685477702,-1.708035542,-1.568668135,-1.339521499
-1.347073648,-0.230567088,2.717340248,-3.616138416,-3.555888207,-3.767299479,-4.252430977,-4.841644701,-5.407552044,-5.377797899,-5.371335471,-5.45969342,-5.658616011,-6.039693069,-6.551459407,-1.58908062,-1.620009,-1.646855537,-1.656184517,-1.709928152,-1.577790434,-1.73114472,-1.682175716,-1.63541074,-1.754797596,-1.554777076,-1.341253151
-1.30933332,-0.230567088,2.717340248,-3.465329585,-3.422863404,-3.630067297,-4.22563846,-4.887580843,-5.343839975,-5.33187415,-5.288317532,-5.415381661,-5.630637037,-6.035901401,-6.5493119,-1.594935961,-1.518100673,-1.620037793,-1.628252762,-1.675507434,-1.630760497,-1.751545582,-1.70262215,-1.6633109,-1.715333838,-1.543335685,-1.366405404
-1.272965676,-0.230567088,2.717340248,-3.339657414,-3.317026284,-3.525727125,-4.131878219,-4.775971556,-5.25598036,-5.297257928,-5.22535505,-5.371963907,-5.60286622,-6.029390739,-6.550934346,-1.608859215,-1.571999411,-1.591494449,-1.605591395,-1.620691098,-1.71269411,-1.752219044,-1.755315903,-1.742657074,-1.687165681,-1.538331071,-1.369969393
-1.237874356,-0.230567088,2.717340248,-3.239509748,-3.238137648,-3.460406131,-4.043482261,-4.691258716,-5.172499144,-5.258650599,-5.174831512,-5.333950762,-5.5805344,-6.022010356,-6.556324059,-1.54338296,-1.570731596,-1.563863284,-1.587115746,-1.576859906,-1.670001268,-1.733346898,-1.747658568,-1.68649826,-1.699419011,-1.540557627,-1.380532182
