Sa,SaRatio,Ds,SDR1,SDR2,SDR3,SDDR4,SDR5,SDR6,SDR7,SDR8,SDR9,SDR10,SDR11,SDR12,PFA1,PFA2,PFA3,PFA4,PFA5,PFA6,PFA7,PFA8,PFA9,PFA10,PFA11,PFA12
0.21,0.79408316,15.14,0.0167747,0.0181384,0.0141941,0.00878188,0.00472418,0.0034109,0.0031128,0.00326538,0.00335605,0.00293742,0.00220235,0.00136078,0.172128723,0.180718726,0.171169127,0.164665372,0.154527843,0.174206164,0.197491064,0.193702668,0.150803678,0.166608392,0.194491841,0.23976949
0.22,0.79408316,15.14,0.0236287,0.0229204,0.0168958,0.0101628,0.00554134,0.00380303,0.00335225,0.00346528,0.0035418,0.00305422,0.00224665,0.00137958,0.225965035,0.206201502,0.169428127,0.169456358,0.162671588,0.171268583,0.175890702,0.180980834,0.154947682,0.165344729,0.197157213,0.24129526
0.23,0.79408316,15.14,0.0312888,0.032859,0.0257911,0.0121474,0.00587516,0.00379073,0.00368994,0.00365069,0.00371688,0.00317061,0.00228883,0.00139516,0.235666667,0.177590521,0.176992748,0.175042994,0.184670811,0.186363636,0.181729604,0.174252525,0.171450401,0.169456876,0.202283087,0.244226107
0.24,0.79408316,15.14,0.0263686,0.028568,0.0244838,0.0173073,0.00896968,0.00407505,0.00401194,0.00384567,0.00389372,0.00327719,0.00233165,0.00141173,0.20886532,0.216546232,0.185828283,0.180130536,0.19334965,0.202550117,0.182515152,0.181966848,0.164225589,0.16617353,0.20473323,0.250940689
0.25,0.79408316,15.14,0.0231063,0.025993,0.0226849,0.0165196,0.0100625,0.00515412,0.00432308,0.00423761,0.00407785,0.00338597,0.00235949,0.00142313,0.220993525,0.186948459,0.187319865,0.1889223,0.18917353,0.208291893,0.186203574,0.183393939,0.185355866,0.181221445,0.208322455,0.261970992
0.26,0.79408316,15.14,0.0268863,0.028556,0.0231144,0.0142296,0.00789406,0.0044826,0.00461798,0.00464792,0.00425486,0.00348734,0.00238229,0.00142803,0.204113183,0.197896918,0.192654753,0.190865838,0.180878788,0.206430717,0.177081585,0.18596892,0.194872313,0.172942243,0.211236467,0.261517742
0.27,0.79408316,15.14,0.0312627,0.0326189,0.0265144,0.014616,0.00753964,0.00477749,0.004835,0.00505025,0.00444764,0.00358629,0.00239134,0.0014311,0.202921523,0.219127687,0.19789122,0.196272209,0.187213157,0.195780627,0.173505569,0.182205128,0.18951049,0.179903652,0.213667185,0.255022015
0.28,0.79408316,15.14,0.0354491,0.0362605,0.0294304,0.0160527,0.00842989,0.00521623,0.0050053,0.00537845,0.004645,0.00368728,0.00240696,0.00142878,0.200115773,0.20762963,0.203621083,0.200770785,0.197761979,0.180379176,0.173388759,0.172852629,0.175054649,0.185043253,0.214739187,0.254114737
0.29,0.79408316,15.14,0.0391831,0.0392369,0.031417,0.0175363,0.00917513,0.00567038,0.00520232,0.00565717,0.00482497,0.00377055,0.00242479,0.0014211,0.213657084,0.207893033,0.209325822,0.204514634,0.206622896,0.188246827,0.176692049,0.1741813,0.185166796,0.182789692,0.21426159,0.251444703
0.1,0.841479126,27.795,0.00448488,0.00536861,0.0044529,0.00363729,0.00315806,0.00287551,0.00271128,0.00254261,0.00256892,0.00226879,0.00175035,0.00109704,0.076238539,0.098818182,0.123127946,0.132110334,0.135662005,0.148536131,0.141241906,0.116827506,0.113708107,0.128534577,0.167312872,0.194865061
0.2,0.841479126,27.795,0.0219088,0.0244871,0.0201938,0.012859,0.00662878,0.00398464,0.0039641,0.00365854,0.00344496,0.00301162,0.00225291,0.00139816,0.152714323,0.198307951,0.171624709,0.159072002,0.153602435,0.179584823,0.197058793,0.185177415,0.165519814,0.165471121,0.194917638,0.248148407
0.21,0.841479126,27.795,0.0232858,0.0264008,0.0231459,0.0159667,0.00788926,0.00418113,0.00429473,0.00390489,0.0036689,0.00317486,0.00232809,0.0014452,0.155937581,0.185975395,0.167606061,0.144514634,0.153842269,0.17985755,0.203188552,0.188171976,0.166637141,0.175335405,0.20000518,0.257998446
0.22,0.841479126,27.795,0.0238096,0.0278665,0.0252065,0.0184405,0.00958604,0.00466098,0.00455493,0.00418963,0.00390814,0.00330793,0.00238889,0.0014857,0.155328671,0.188014245,0.177487179,0.149815074,0.15986273,0.175881119,0.205931365,0.188192955,0.170605543,0.187203056,0.205557887,0.264959855
0.23,0.841479126,27.795,0.0240074,0.0282545,0.0262182,0.0200934,0.0120417,0.00565185,0.00485068,0.00455701,0.00415356,0.00343974,0.00244307,0.00151786,0.153787361,0.189373996,0.1848705,0.155825952,0.158515929,0.183003885,0.205667444,0.186695157,0.168363636,0.189787102,0.207259,0.27011655
0.24,0.841479126,27.795,0.0280309,0.0306995,0.027157,0.0213695,0.013704,0.00698373,0.0052706,0.00510557,0.00438083,0.00355459,0.00249688,0.00154542,0.163003108,0.185700855,0.188742554,0.161673142,0.165313908,0.190817923,0.20400518,0.187017094,0.178508159,0.195274022,0.210691013,0.274289044
0.25,0.841479126,27.795,0.0313563,0.0345482,0.0281898,0.0220792,0.0147081,0.00814406,0.00573623,0.00565709,0.00457674,0.0036476,0.00254759,0.00157031,0.17734965,0.178701891,0.190907796,0.168209272,0.171513857,0.197232064,0.207659674,0.194137788,0.188516188,0.198060865,0.213521886,0.278044548
0.26,0.841479126,27.795,0.0334721,0.0368729,0.0296883,0.0224541,0.0153062,0.00889061,0.00626571,0.00626253,0.0047415,0.00371799,0.00258382,0.00158856,0.18309065,0.171518778,0.19269956,0.171975395,0.176082362,0.201393939,0.212055944,0.198737892,0.194993007,0.200194768,0.215858586,0.280530951
0.27,0.841479126,27.795,0.0352378,0.0388117,0.0310564,0.022913,0.0160776,0.0100157,0.00724015,0.00684874,0.00500091,0.00376956,0.00261774,0.00160791,0.200372183,0.188726496,0.193434343,0.176709143,0.180929552,0.205586895,0.216806527,0.203451178,0.199604248,0.206016576,0.217542088,0.283291893
0.28,0.841479126,27.795,0.0359452,0.03991,0.0323049,0.0235722,0.0171388,0.0112331,0.0082109,0.00733905,0.00541247,0.00380312,0.00265087,0.0016296,0.215519296,0.204514634,0.192324527,0.182219891,0.186212898,0.211563067,0.222632479,0.208247345,0.205473452,0.207078218,0.217962186,0.286847967
0.29,0.841479126,27.795,0.0333271,0.0388604,0.0314235,0.0241694,0.0176598,0.0118233,0.00887353,0.00774775,0.00575773,0.00380374,0.00267693,0.00164599,0.227331261,0.212416213,0.189239057,0.187102305,0.191940948,0.218185444,0.228697747,0.213495985,0.209979539,0.204912717,0.218540534,0.2896374
0.1,0.959858552,50.2,0.00313151,0.00364776,0.00360997,0.00359729,0.00352377,0.00323906,0.00325193,0.00402778,0.00415261,0.00340172,0.00243867,0.00143965,0.181487697,0.195369593,0.202954416,0.197444444,0.187747993,0.163794872,0.177373219,0.17881093,0.172675214,0.199796167,0.218439264,0.255869723
0.2,0.959858552,50.2,0.00752869,0.0117022,0.011362,0.00908973,0.00712044,0.00676102,0.00945638,0.0152939,0.0165597,0.0143972,0.00955642,0.00265296,0.334625745,0.311631702,0.322395752,0.353493913,0.337772598,0.346125356,0.330543901,0.298603989,0.276076146,0.279269619,0.325234395,0.328992489
0.21,0.959858552,50.2,0.00732227,0.0112128,0.0106052,0.00850523,0.00685202,0.00782832,0.0119708,0.0178711,0.0189576,0.0172105,0.0117638,0.00250094,0.325363895,0.319059829,0.333957524,0.388231028,0.354299404,0.346811707,0.348578089,0.283737374,0.274138824,0.266651127,0.306236726,0.355387205
0.22,0.959858552,50.2,0.0073743,0.0109818,0.0101094,0.00766348,0.00617239,0.00781746,0.0143471,0.0215476,0.0214141,0.0194151,0.013002,0.00269824,0.317814038,0.337544678,0.340660451,0.411206941,0.390999741,0.344472934,0.356226366,0.269020979,0.246022274,0.264188034,0.305003885,0.381867392
0.23,0.959858552,50.2,0.00761604,0.0115678,0.0109874,0.00815965,0.0054517,0.00687021,0.0170638,0.0246478,0.0232316,0.0203759,0.0132417,0.00269923,0.343265993,0.332103082,0.332147112,0.417324527,0.378580679,0.334908055,0.307337477,0.26998187,0.253658379,0.266096866,0.294229474,0.3898446
0.24,0.959858552,50.2,0.00909046,0.0138138,0.0130593,0.00966178,0.00620415,0.00792107,0.0174001,0.0213859,0.0187172,0.0174692,0.0111017,0.00257946,0.347150997,0.32994561,0.331849262,0.41048433,0.368761979,0.345604766,0.305630666,0.285972546,0.263162393,0.280764051,0.294270914,0.383988604
0.25,0.959858552,50.2,0.0092508,0.014046,0.0136478,0.010569,0.00763404,0.0071948,0.0171993,0.0194463,0.0181063,0.0163379,0.0103859,0.00247554,0.373237503,0.328653199,0.332696193,0.391727532,0.34037037,0.335990676,0.287176897,0.273931624,0.282261072,0.304993525,0.300849521,0.371346801
