Sa,SaRatio,Ds,SDR1,SDR2,SDR3,SDDR4,SDR5,SDR6,SDR7,SDR8,SDR9,SDR10,SDR11,SDR12,PFA1,PFA2,PFA3,PFA4,PFA5,PFA6,PFA7,PFA8,PFA9,PFA10,PFA11,PFA12
0.169,1.713928238,4.59,0.00642424,0.00921623,0.00901659,0.00713666,0.00521138,0.00466366,0.00486156,0.00419287,0.00312498,0.00221149,0.00164186,0.00106118,0.108242942,0.111480963,0.110415695,0.119646465,0.124937322,0.121839161,0.124172235,0.137628076,0.150872831,0.149461538,0.159940948,0.170016835
0.169,1.996230059,23.856,0.00541918,0.00723147,0.00615799,0.00453855,0.00356066,0.00312154,0.00282414,0.00268411,0.00258388,0.00215949,0.00166713,0.00108701,0.096361823,0.108903652,0.113699042,0.131413882,0.142407148,0.144212639,0.13342994,0.148697488,0.145996892,0.135027195,0.148564362,0.180910904
0.169,1.972597616,8.69,0.00512015,0.00608336,0.00462372,0.00382296,0.00370845,0.00355564,0.00385541,0.00345543,0.00311971,0.00287203,0.00228203,0.00141898,0.170291893,0.188228179,0.189435379,0.157679358,0.162709661,0.219145817,0.244271173,0.214991194,0.164906501,0.149768454,0.200273763,0.280867651
0.169,1.768936965,18.28,0.00577433,0.00783608,0.00672875,0.00514721,0.00411816,0.00389196,0.00476937,0.00473147,0.00372969,0.00271357,0.00198296,0.00125739,0.122361823,0.136487438,0.130061901,0.136396529,0.129022274,0.155347319,0.162164983,0.158221963,0.153456876,0.153358715,0.17775654,0.200362082
0.169,1.967349978,16.5,0.00440605,0.00581571,0.00521899,0.00416932,0.00369039,0.00321352,0.00304454,0.00329995,0.00325169,0.00280926,0.00213469,0.00131615,0.164740741,0.173561772,0.15163481,0.121893551,0.122153846,0.11638591,0.119373996,0.12344807,0.130401709,0.152665631,0.192730122,0.23638591
0.169,1.700918795,4.865,0.00749954,0.0117491,0.0107546,0.0077899,0.00471717,0.00325749,0.00269305,0.00317061,0.00346604,0.00309501,0.00235323,0.00137741,0.281020461,0.273084693,0.247688164,0.272737633,0.194532505,0.207735302,0.22439627,0.19635483,0.192039627,0.20601036,0.222857809,0.27046361
0.169,1.678325852,15.24,0.00582624,0.00730635,0.00568694,0.00409093,0.00399587,0.00385248,0.00422483,0.00383703,0.00300012,0.00229227,0.00180827,0.00117411,0.118938876,0.161731935,0.158846672,0.158814815,0.146725719,0.169807563,0.180605284,0.173249935,0.155894328,0.147193473,0.163349909,0.198597773
0.169,1.463915187,12.95,0.00436438,0.00540259,0.00556661,0.00571377,0.00659699,0.00860285,0.0102147,0.00928805,0.00698787,0.00410833,0.00250115,0.00149584,0.177495726,0.204369075,0.22165812,0.240609428,0.210132608,0.174605025,0.180171976,0.173699042,0.187346542,0.210262108,0.214557887,0.263939394
0.169,1.635454612,13.615,0.00385792,0.0050166,0.00506146,0.00500536,0.00509948,0.0054479,0.00704048,0.00690761,0.0048655,0.00312603,0.0021664,0.00138859,0.202014504,0.241311836,0.232750324,0.201331779,0.177444962,0.166539239,0.141685056,0.20372287,0.199212898,0.201634292,0.191564621,0.25245843
0.169,1.513356437,10.105,0.00459227,0.00472527,0.00374611,0.00323679,0.00325806,0.00360922,0.00579988,0.00733895,0.00819978,0.00745064,0.00495425,0.00194659,0.412165242,0.383809894,0.32993266,0.324491064,0.354597255,0.307184667,0.334827765,0.28989899,0.244980057,0.236119399,0.252328153,0.301103341
