#Num,1-PID-1-1,1-PFA-1-1,1-PID-2-1,1-PFA-2-1,1-PID-3-1,1-PFA-3-1,1-PID-4-1,1-PFA-4-1,1-PID-5-1,1-PFA-5-1,1-PID-6-1,1-PFA-6-1,1-PID-7-1,1-PFA-7-1,1-PID-8-1,1-PFA-8-1,1-PID-9-1,1-PFA-9-1,1-PID-10-1,1-PFA-10-1,1-PID-11-1,1-PFA-11-1,1-PID-12-1,1-PFA-12-1,1-PRD-1-1
0,0.018447189917521714,0.0,0.03759132913379359,0.0,0.011800672713670425,0.0,0.01227332435986942,0.0,0.011500017678978331,0.0,0.006435022630389568,0.0,0.00912856112517216,0.0,0.00713637282378219,0.0,0.008200210973728628,0.0,0.004567866161905767,0.0,0.002711747503165906,0.0,0.003137400162877647,0.0,0.03759132913379359
1,0.01893088352734054,0.0,0.038385269023773164,0.0,0.021901004169664277,0.0,0.017079510016004867,0.0,0.011952044654302298,0.0,0.010455214736232411,0.0,0.010618075836645882,0.0,0.0050514662163810104,0.0,0.0060992765185229406,0.0,0.007076576031779737,0.0,0.005383163579738632,0.0,0.0023194321798231093,0.0,0.038385269023773164
2,0.02241140464092581,0.0,0.02702109355588094,0.0,0.017238924922354477,0.0,0.02315185230663646,0.0,0.013062623942490598,0.0,0.01108186414332103,0.0,0.008454499551707958,0.0,0.007489468897435555,0.0,0.006859472071048934,0.0,0.008170566850967637,0.0,0.003818636270964838,0.0,0.0025006026737439922,0.0,0.02702109355588094
3,0.026249459554624908,0.0,0.02830659216691352,0.0,0.014424750189049882,0.0,0.011636563377800023,0.0,0.01199000775726271,0.0,0.008407867989136935,0.0,0.01062421905371141,0.0,0.009315763794948603,0.0,0.007184969910611477,0.0,0.005539025913759892,0.0,0.005686207621553758,0.0,0.0031160318281676963,0.0,0.02830659216691352
4,0.02462752295138979,0.0,0.020024487782183617,0.0,0.020268304812396845,0.0,0.012729804623170558,0.0,0.013847098086007056,0.0,0.014719476332248014,0.0,0.007239694940607377,0.0,0.00895833080406144,0.0,0.011613330603196543,0.0,0.005082771156106888,0.0,0.00657422514039842,0.0,0.0022242079569103484,0.0,0.020024487782183617
5,0.017313015275735217,0.0,0.019948935784082734,0.0,0.018480253197650322,0.0,0.016085959868102375,0.0,0.009967265621519339,0.0,0.008595174639618347,0.0,0.009192366702122763,0.0,0.008624696931054646,0.0,0.007855729000311862,0.0,0.004787654364580328,0.0,0.006192548810099772,0.0,0.0020898019957978765,0.0,0.019948935784082734
6,0.013879530593180289,0.0,0.028751071035200398,0.0,0.02181473121461139,0.0,0.018621515188952626,0.0,0.013863618374568388,0.0,0.006496370351201589,0.0,0.008099694433342844,0.0,0.010303108703072055,0.0,0.005825510810313496,0.0,0.011385003766622935,0.0,0.006186337433350744,0.0,0.0020761947010038096,0.0,0.028751071035200398
7,0.01746917598330783,0.0,0.028796605120414067,0.0,0.02962073621933891,0.0,0.02566251859296742,0.0,0.009330233136553403,0.0,0.007618568597582913,0.0,0.00908899599056554,0.0,0.00709630123414701,0.0,0.007304721478262249,0.0,0.0024322039427862666,0.0,0.003225283775341273,0.0,0.0033163500859928505,0.0,0.028796605120414067
8,0.03289034756809761,0.0,0.05914836463450699,0.0,0.02581140160573674,0.0,0.014371159252881878,0.0,0.011846177374120062,0.0,0.012492680711162404,0.0,0.007404010755708478,0.0,0.009375651416899103,0.0,0.00440011291155185,0.0,0.005446227980773169,0.0,0.005391846416907544,0.0,0.003368156293169761,0.0,0.05914836463450699
9,0.05695533432940832,0.0,0.03277882363827398,0.0,0.026548948814727778,0.0,0.01875910155619957,0.0,0.008199811924848968,0.0,0.007542077667322857,0.0,0.005891118889783885,0.0,0.007620456453235145,0.0,0.007712160770006252,0.0,0.006815639636989759,0.0,0.0030747969785941266,0.0,0.0021551894180336295,0.0,0.03277882363827398
10,0.022137045762634793,0.0,0.03750976763008754,0.0,0.013927840675324696,0.0,0.01623701526858405,0.0,0.009891556802543219,0.0,0.005597432981603731,0.0,0.009884276090077472,0.0,0.01031624917203053,0.0,0.005303665392056524,0.0,0.006181106229758258,0.0,0.0043434692166167445,0.0,0.002338012753778498,0.0,0.03750976763008754
11,0.019719824700864804,0.0,0.02570485378401346,0.0,0.020204239126481657,0.0,0.022155127612978588,0.0,0.015105709948057369,0.0,0.012741480488532493,0.0,0.010153874542731048,0.0,0.007426440512138991,0.0,0.006333736246719427,0.0,0.00534689809557056,0.0,0.004406615906749771,0.0,0.0021152957489815796,0.0,0.02570485378401346
12,0.01800559906989707,0.0,0.03917984466239,0.0,0.0262643971640871,0.0,0.013899652045683086,0.0,0.012424018291010391,0.0,0.009089300173120426,0.0,0.009250062201663982,0.0,0.007685054241748728,0.0,0.007838496021137184,0.0,0.004965982662227267,0.0,0.005441337307904298,0.0,0.001892801098143788,0.0,0.03917984466239
13,0.020754307654553262,0.0,0.023063983574707066,0.0,0.017701763223198493,0.0,0.026091943954728476,0.0,0.010221283222036118,0.0,0.008600905501251829,0.0,0.00793259911470462,0.0,0.007275055010796322,0.0,0.0063210308304892816,0.0,0.00583916206380736,0.0,0.004697122325191828,0.0,0.002095293352039827,0.0,0.023063983574707066
14,0.02519529770742433,0.0,0.03589367060212688,0.0,0.019552117294796025,0.0,0.01491620884105914,0.0,0.0074146677035988665,0.0,0.007035216881224341,0.0,0.006916182272756671,0.0,0.010760342665669546,0.0,0.009286619112547993,0.0,0.006793723208333149,0.0,0.003721227354188772,0.0,0.0025879880915370616,0.0,0.03589367060212688
15,0.011408532724162012,0.0,0.02194385475193253,0.0,0.014177393599255407,0.0,0.017069881056492143,0.0,0.015028615924454288,0.0,0.005464181473840421,0.0,0.007259841674087859,0.0,0.007797859652060068,0.0,0.0055152802526273696,0.0,0.005772131420835863,0.0,0.007066635432568926,0.0,0.0025677622620511316,0.0,0.02194385475193253
16,0.029435991413510186,0.0,0.02005760368163104,0.0,0.01968675300689565,0.0,0.02161428692671645,0.0,0.009766844719576341,0.0,0.0064417269743537635,0.0,0.009744935274714338,0.0,0.005351693436679814,0.0,0.009881403988658697,0.0,0.006377201763466419,0.0,0.00303586835918914,0.0,0.002572157607695626,0.0,0.02005760368163104
