#Num,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PID-4-1,1-PID-5-1,1-PID-6-1,1-PID-7-1,1-PID-8-1,1-PID-9-1,1-PID-10-1,1-PID-11-1,1-PID-12-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-PFA-4-1,1-PFA-5-1,1-PFA-6-1,1-PFA-7-1,1-PFA-8-1,1-PFA-9-1,1-PFA-10-1,1-PFA-11-1,1-PFA-12-1,1-PRD-1-1
1,2.43E-02,2.59E-02,1.98E-02,1.28E-02,8.57E-03,6.44E-03,6.13E-03,6.10E-03,4.84E-03,3.61E-03,2.75E-03,1.63E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.59E-02
2,1.15E-02,1.32E-02,1.26E-02,1.06E-02,8.24E-03,6.34E-03,5.58E-03,6.01E-03,5.99E-03,5.57E-03,4.21E-03,2.17E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.32E-02
3,9.59E-03,1.15E-02,1.06E-02,8.50E-03,6.33E-03,5.21E-03,5.92E-03,6.48E-03,6.04E-03,5.01E-03,3.71E-03,1.95E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.15E-02
4,1.37E-02,1.61E-02,1.45E-02,1.10E-02,7.52E-03,5.43E-03,4.81E-03,4.91E-03,4.57E-03,3.68E-03,2.70E-03,1.72E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.61E-02
5,1.40E-02,1.57E-02,1.37E-02,1.06E-02,8.01E-03,6.04E-03,5.89E-03,7.04E-03,7.12E-03,6.55E-03,5.19E-03,2.88E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.57E-02
6,1.03E-02,1.23E-02,1.20E-02,1.06E-02,8.41E-03,6.63E-03,5.91E-03,6.43E-03,6.25E-03,5.42E-03,3.88E-03,1.98E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.23E-02
7,1.14E-02,1.43E-02,1.31E-02,1.00E-02,6.96E-03,5.02E-03,4.45E-03,4.53E-03,4.16E-03,3.31E-03,2.47E-03,1.61E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.43E-02
8,2.39E-02,2.76E-02,2.56E-02,1.95E-02,1.44E-02,9.42E-03,7.28E-03,7.31E-03,6.64E-03,4.83E-03,3.20E-03,1.85E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.76E-02
9,1.06E-02,1.23E-02,1.19E-02,1.05E-02,8.37E-03,6.71E-03,6.17E-03,6.83E-03,6.80E-03,6.19E-03,4.50E-03,2.24E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.23E-02
10,1.14E-02,1.48E-02,1.45E-02,1.27E-02,9.80E-03,7.37E-03,6.80E-03,6.77E-03,6.41E-03,5.70E-03,4.86E-03,3.20E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.48E-02
11,1.45E-02,1.61E-02,1.38E-02,9.27E-03,6.17E-03,4.74E-03,5.27E-03,5.74E-03,5.05E-03,4.16E-03,4.05E-03,2.66E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.61E-02
12,1.06E-02,1.28E-02,1.08E-02,8.53E-03,7.38E-03,7.28E-03,9.49E-03,1.08E-02,9.84E-03,7.35E-03,5.04E-03,2.36E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.28E-02
13,1.88E-02,2.09E-02,1.81E-02,1.48E-02,1.27E-02,1.01E-02,8.66E-03,7.88E-03,6.82E-03,5.89E-03,4.65E-03,2.33E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.09E-02
14,1.97E-02,2.20E-02,1.93E-02,1.51E-02,1.16E-02,8.68E-03,6.90E-03,6.46E-03,6.57E-03,5.69E-03,3.62E-03,1.83E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.20E-02
15,2.30E-02,2.53E-02,2.22E-02,1.67E-02,1.11E-02,7.54E-03,7.08E-03,7.60E-03,7.10E-03,5.87E-03,4.11E-03,2.07E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.53E-02
16,1.48E-02,1.75E-02,1.49E-02,1.15E-02,9.73E-03,8.28E-03,8.24E-03,9.14E-03,8.74E-03,7.08E-03,4.76E-03,2.24E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.75E-02
17,1.27E-02,1.55E-02,1.37E-02,1.17E-02,1.08E-02,9.83E-03,1.03E-02,1.19E-02,1.13E-02,9.02E-03,6.12E-03,2.55E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.55E-02
18,1.39E-02,1.62E-02,1.31E-02,9.30E-03,7.56E-03,7.72E-03,9.56E-03,1.16E-02,1.11E-02,8.03E-03,4.29E-03,2.00E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.62E-02
19,4.48E-02,4.70E-02,3.74E-02,1.86E-02,1.01E-02,6.19E-03,5.08E-03,5.12E-03,4.77E-03,3.61E-03,2.60E-03,1.57E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.70E-02
20,1.02E-02,1.27E-02,1.01E-02,6.80E-03,4.87E-03,5.29E-03,7.70E-03,1.03E-02,9.48E-03,8.15E-03,5.51E-03,2.00E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.27E-02
