#Num,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PID-4-1,1-PID-5-1,1-PID-6-1,1-PID-7-1,1-PID-8-1,1-PID-9-1,1-PID-10-1,1-PID-11-1,1-PID-12-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-PFA-4-1,1-PFA-5-1,1-PFA-6-1,1-PFA-7-1,1-PFA-8-1,1-PFA-9-1,1-PFA-10-1,1-PFA-11-1,1-PFA-12-1,1-PRD-1-1
1,2.88E-02,2.89E-02,1.94E-02,1.30E-02,7.29E-03,5.02E-03,4.67E-03,5.68E-03,5.31E-03,4.86E-03,4.51E-03,2.61E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.89E-02
2,2.62E-02,2.95E-02,2.68E-02,1.97E-02,1.34E-02,9.53E-03,8.51E-03,9.71E-03,9.27E-03,8.35E-03,6.48E-03,2.99E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.95E-02
3,2.34E-02,2.71E-02,2.40E-02,1.69E-02,1.28E-02,9.37E-03,8.10E-03,7.03E-03,5.70E-03,4.21E-03,2.79E-03,1.63E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.71E-02
4,2.12E-02,2.53E-02,2.40E-02,1.92E-02,1.29E-02,9.24E-03,8.91E-03,8.92E-03,8.28E-03,7.12E-03,4.99E-03,2.21E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.53E-02
5,1.74E-02,2.23E-02,2.20E-02,1.94E-02,1.49E-02,1.03E-02,8.15E-03,6.92E-03,6.20E-03,5.19E-03,3.25E-03,1.74E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.23E-02
6,2.02E-02,2.19E-02,1.95E-02,1.63E-02,1.28E-02,8.88E-03,7.80E-03,7.82E-03,7.23E-03,6.18E-03,4.35E-03,2.13E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.19E-02
7,5.05E-02,5.41E-02,4.44E-02,2.38E-02,1.13E-02,8.11E-03,8.29E-03,9.22E-03,8.08E-03,6.34E-03,4.50E-03,2.22E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.41E-02
8,2.32E-02,2.62E-02,2.43E-02,1.93E-02,1.17E-02,8.61E-03,9.78E-03,1.16E-02,1.13E-02,9.86E-03,7.09E-03,2.53E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.62E-02
9,7.39E-03,1.03E-02,9.83E-03,8.53E-03,7.65E-03,6.69E-03,6.88E-03,7.24E-03,7.57E-03,8.28E-03,6.99E-03,3.93E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.03E-02
10,2.58E-02,2.84E-02,2.43E-02,1.71E-02,1.27E-02,9.43E-03,8.44E-03,8.56E-03,8.36E-03,7.25E-03,4.84E-03,2.31E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.84E-02
11,3.33E-02,3.52E-02,2.80E-02,1.73E-02,9.82E-03,7.16E-03,7.69E-03,7.42E-03,5.28E-03,4.24E-03,3.24E-03,1.87E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.52E-02
12,1.74E-02,2.03E-02,1.91E-02,1.65E-02,1.18E-02,8.41E-03,6.31E-03,5.20E-03,4.35E-03,4.37E-03,4.24E-03,2.27E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.03E-02
