#Num,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PID-4-1,1-PID-5-1,1-PID-6-1,1-PID-7-1,1-PID-8-1,1-PID-9-1,1-PID-10-1,1-PID-11-1,1-PID-12-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-PFA-4-1,1-PFA-5-1,1-PFA-6-1,1-PFA-7-1,1-PFA-8-1,1-PFA-9-1,1-PFA-10-1,1-PFA-11-1,1-PFA-12-1,1-PRD-1-1
1,1.31E-02,1.63E-02,1.54E-02,1.24E-02,8.36E-03,4.91E-03,4.58E-03,4.61E-03,3.86E-03,3.06E-03,2.28E-03,1.42E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.63E-02
2,1.50E-02,1.79E-02,1.61E-02,1.23E-02,8.82E-03,6.55E-03,5.76E-03,6.92E-03,6.62E-03,5.23E-03,3.35E-03,1.72E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.79E-02
3,1.33E-02,1.61E-02,1.50E-02,1.26E-02,1.07E-02,7.90E-03,6.59E-03,6.84E-03,6.07E-03,4.34E-03,2.85E-03,1.64E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.61E-02
4,7.52E-03,8.92E-03,7.61E-03,6.74E-03,5.84E-03,5.65E-03,7.05E-03,8.43E-03,7.94E-03,6.07E-03,4.37E-03,2.18E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.92E-03
5,1.31E-02,1.55E-02,1.37E-02,1.12E-02,8.58E-03,6.64E-03,7.10E-03,7.76E-03,7.15E-03,5.66E-03,3.72E-03,1.90E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.55E-02
6,1.11E-02,1.32E-02,1.09E-02,7.70E-03,5.92E-03,4.95E-03,5.17E-03,5.01E-03,4.14E-03,3.27E-03,2.50E-03,1.52E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.32E-02
7,1.33E-02,1.53E-02,1.36E-02,1.07E-02,7.88E-03,5.46E-03,4.80E-03,5.34E-03,5.71E-03,6.13E-03,5.99E-03,3.86E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.53E-02
8,1.36E-02,1.54E-02,1.28E-02,9.02E-03,6.79E-03,5.55E-03,5.80E-03,6.61E-03,5.88E-03,5.09E-03,3.88E-03,2.23E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.54E-02
9,2.30E-02,2.49E-02,2.04E-02,1.32E-02,7.92E-03,4.81E-03,4.96E-03,5.17E-03,4.85E-03,3.99E-03,2.72E-03,1.55E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.49E-02
10,1.66E-02,1.83E-02,1.53E-02,1.16E-02,8.77E-03,6.86E-03,6.89E-03,7.62E-03,6.84E-03,4.94E-03,3.33E-03,1.83E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.83E-02
