#Num,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PID-4-1,1-PID-5-1,1-PID-6-1,1-PID-7-1,1-PID-8-1,1-PID-9-1,1-PID-10-1,1-PID-11-1,1-PID-12-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-PFA-4-1,1-PFA-5-1,1-PFA-6-1,1-PFA-7-1,1-PFA-8-1,1-PFA-9-1,1-PFA-10-1,1-PFA-11-1,1-PFA-12-1,1-PRD-1-1
11,1.06E-02,1.41E-02,1.43E-02,1.36E-02,1.20E-02,1.00E-02,9.31E-03,9.27E-03,7.72E-03,4.94E-03,2.84E-03,1.62E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.43E-02
12,1.30E-02,1.61E-02,1.55E-02,1.37E-02,1.20E-02,8.81E-03,6.94E-03,6.67E-03,5.88E-03,4.25E-03,2.90E-03,1.71E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.61E-02
13,1.48E-02,1.69E-02,1.45E-02,1.16E-02,8.97E-03,6.93E-03,5.72E-03,5.42E-03,5.53E-03,4.74E-03,3.06E-03,1.62E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.69E-02
14,1.48E-02,1.73E-02,1.53E-02,1.21E-02,9.15E-03,7.62E-03,8.07E-03,8.00E-03,6.58E-03,4.52E-03,2.82E-03,1.53E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.73E-02
15,1.06E-02,1.41E-02,1.43E-02,1.36E-02,1.20E-02,1.00E-02,9.31E-03,9.27E-03,7.72E-03,4.94E-03,2.84E-03,1.62E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.43E-02
16,1.31E-02,1.47E-02,1.23E-02,8.77E-03,6.68E-03,5.46E-03,5.63E-03,6.30E-03,5.49E-03,4.58E-03,3.43E-03,2.02E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.47E-02
17,1.50E-02,1.71E-02,1.46E-02,1.12E-02,8.05E-03,5.95E-03,6.59E-03,7.56E-03,7.19E-03,5.82E-03,3.87E-03,1.92E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.71E-02
18,8.16E-03,1.00E-02,7.72E-03,5.37E-03,4.01E-03,3.51E-03,5.55E-03,8.37E-03,9.01E-03,7.75E-03,4.56E-03,2.02E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-02
19,1.18E-02,1.30E-02,1.10E-02,8.38E-03,5.90E-03,4.75E-03,5.09E-03,6.76E-03,7.99E-03,6.74E-03,3.98E-03,2.10E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E-02
20,1.28E-02,1.50E-02,1.33E-02,1.05E-02,7.89E-03,5.63E-03,5.09E-03,5.66E-03,6.10E-03,6.35E-03,5.97E-03,3.73E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.50E-02
21,1.07E-02,1.29E-02,1.11E-02,8.63E-03,6.48E-03,5.38E-03,6.21E-03,6.84E-03,6.56E-03,5.31E-03,4.15E-03,2.56E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.29E-02
22,9.72E-03,1.20E-02,1.01E-02,6.90E-03,5.96E-03,5.21E-03,5.84E-03,7.02E-03,6.99E-03,5.82E-03,4.18E-03,2.30E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E-02
23,1.28E-02,1.47E-02,1.28E-02,1.04E-02,8.70E-03,7.46E-03,7.79E-03,7.32E-03,6.00E-03,4.67E-03,3.33E-03,2.02E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.47E-02
24,1.45E-02,1.53E-02,1.23E-02,8.31E-03,5.95E-03,4.63E-03,4.78E-03,4.86E-03,4.56E-03,4.11E-03,3.84E-03,2.61E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.53E-02
25,1.39E-02,1.52E-02,1.15E-02,7.47E-03,6.59E-03,6.48E-03,6.83E-03,7.03E-03,6.29E-03,4.93E-03,3.26E-03,1.67E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.52E-02
26,7.83E-03,9.24E-03,8.50E-03,7.34E-03,6.31E-03,5.26E-03,5.87E-03,6.90E-03,6.72E-03,5.31E-03,3.68E-03,1.98E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.24E-03
27,1.50E-02,1.77E-02,1.54E-02,1.10E-02,7.73E-03,5.77E-03,6.23E-03,7.77E-03,7.76E-03,6.34E-03,3.91E-03,1.99E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.77E-02
28,1.66E-02,1.83E-02,1.53E-02,1.15E-02,8.65E-03,6.75E-03,6.78E-03,7.52E-03,6.76E-03,4.90E-03,3.33E-03,1.84E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.83E-02
29,1.35E-02,1.55E-02,1.37E-02,1.07E-02,7.73E-03,5.48E-03,4.94E-03,5.46E-03,5.69E-03,5.87E-03,5.70E-03,3.72E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.55E-02
30,6.53E-03,7.93E-03,8.57E-03,8.84E-03,7.34E-03,5.31E-03,5.26E-03,6.07E-03,5.80E-03,4.73E-03,2.94E-03,1.72E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.84E-03
31,1.12E-02,1.43E-02,1.37E-02,1.23E-02,1.06E-02,7.90E-03,6.65E-03,6.76E-03,6.01E-03,4.50E-03,3.08E-03,1.81E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.43E-02
32,6.14E-03,7.44E-03,7.80E-03,7.53E-03,6.34E-03,4.93E-03,5.24E-03,6.19E-03,5.96E-03,4.64E-03,2.80E-03,1.58E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.80E-03
33,2.72E-02,2.93E-02,2.37E-02,1.50E-02,1.01E-02,7.21E-03,6.83E-03,6.68E-03,5.49E-03,4.00E-03,2.80E-03,1.68E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.93E-02
34,8.31E-03,1.06E-02,9.70E-03,8.53E-03,7.05E-03,6.07E-03,7.09E-03,7.65E-03,7.13E-03,5.44E-03,3.78E-03,1.99E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.06E-02
35,9.57E-03,1.14E-02,9.87E-03,7.46E-03,5.83E-03,4.84E-03,4.85E-03,4.81E-03,5.01E-03,4.57E-03,3.83E-03,2.40E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.14E-02
36,7.60E-03,1.03E-02,9.82E-03,8.32E-03,6.59E-03,5.30E-03,5.43E-03,5.70E-03,5.41E-03,4.66E-03,3.88E-03,2.50E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.03E-02
37,1.34E-02,1.65E-02,1.56E-02,1.26E-02,8.62E-03,5.05E-03,4.65E-03,4.71E-03,3.87E-03,3.01E-03,2.22E-03,1.41E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.65E-02
38,7.61E-03,9.21E-03,8.49E-03,7.12E-03,6.28E-03,5.30E-03,5.83E-03,7.18E-03,7.09E-03,5.73E-03,4.04E-03,2.24E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.21E-03
39,9.97E-03,1.25E-02,1.14E-02,9.14E-03,6.95E-03,4.93E-03,5.36E-03,5.82E-03,5.19E-03,4.09E-03,3.02E-03,1.74E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.25E-02
40,6.26E-03,8.94E-03,9.51E-03,9.91E-03,9.31E-03,7.49E-03,6.36E-03,4.81E-03,3.69E-03,3.15E-03,2.51E-03,1.53E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.91E-03
41,5.85E-03,8.52E-03,8.86E-03,9.04E-03,8.54E-03,7.18E-03,6.45E-03,5.11E-03,3.83E-03,3.13E-03,2.62E-03,1.63E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.04E-03
42,1.83E-02,2.04E-02,1.74E-02,1.31E-02,9.27E-03,6.58E-03,6.67E-03,6.98E-03,6.22E-03,4.85E-03,3.12E-03,1.68E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.04E-02
43,2.44E-02,2.60E-02,2.11E-02,1.51E-02,1.04E-02,7.60E-03,8.03E-03,8.93E-03,8.34E-03,6.31E-03,3.98E-03,2.02E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.60E-02
44,6.34E-03,7.35E-03,7.46E-03,7.49E-03,6.45E-03,4.88E-03,4.95E-03,5.76E-03,5.64E-03,4.70E-03,3.08E-03,1.82E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.49E-03
45,2.53E-02,2.69E-02,2.17E-02,1.55E-02,1.08E-02,7.89E-03,8.10E-03,8.80E-03,8.08E-03,5.99E-03,3.78E-03,1.97E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.69E-02
46,6.69E-03,8.20E-03,6.98E-03,5.56E-03,5.05E-03,4.94E-03,6.74E-03,8.04E-03,7.74E-03,6.09E-03,4.58E-03,2.28E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.20E-03
47,1.20E-02,1.45E-02,1.31E-02,1.16E-02,9.94E-03,7.90E-03,7.48E-03,7.16E-03,5.77E-03,4.09E-03,2.61E-03,1.54E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.45E-02
48,5.79E-03,7.10E-03,6.24E-03,6.10E-03,5.83E-03,6.04E-03,8.00E-03,9.78E-03,9.51E-03,7.29E-03,5.09E-03,2.40E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.78E-03
49,8.95E-03,1.02E-02,9.30E-03,7.44E-03,5.56E-03,4.62E-03,5.04E-03,4.92E-03,4.25E-03,3.52E-03,2.68E-03,1.67E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.02E-02
50,1.37E-02,1.53E-02,1.28E-02,9.10E-03,6.67E-03,5.28E-03,5.43E-03,6.03E-03,5.27E-03,4.36E-03,3.34E-03,2.00E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.53E-02
51,1.56E-02,1.78E-02,1.53E-02,1.21E-02,9.00E-03,6.76E-03,7.19E-03,7.98E-03,7.42E-03,5.77E-03,3.73E-03,1.94E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.78E-02
52,1.14E-02,1.27E-02,1.06E-02,7.80E-03,5.65E-03,4.34E-03,4.42E-03,4.15E-03,3.61E-03,3.10E-03,2.89E-03,2.09E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.27E-02
53,1.05E-02,1.36E-02,1.22E-02,9.44E-03,7.33E-03,5.96E-03,6.64E-03,7.18E-03,6.69E-03,5.23E-03,3.86E-03,2.18E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.36E-02
54,1.95E-02,2.13E-02,1.80E-02,1.26E-02,8.13E-03,5.25E-03,5.36E-03,5.51E-03,5.02E-03,4.04E-03,2.72E-03,1.57E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.13E-02
55,2.22E-02,2.39E-02,1.91E-02,1.27E-02,8.07E-03,4.97E-03,5.38E-03,5.72E-03,4.96E-03,3.76E-03,2.54E-03,1.49E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.39E-02
56,5.66E-03,6.95E-03,6.13E-03,6.02E-03,5.81E-03,6.00E-03,7.96E-03,9.80E-03,9.61E-03,7.38E-03,5.13E-03,2.42E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.80E-03
57,7.94E-03,9.59E-03,8.69E-03,7.15E-03,6.17E-03,5.14E-03,5.68E-03,6.95E-03,6.82E-03,5.61E-03,4.11E-03,2.32E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.59E-03
58,6.51E-03,7.72E-03,8.13E-03,8.11E-03,7.00E-03,5.43E-03,5.59E-03,6.55E-03,6.40E-03,4.85E-03,2.92E-03,1.67E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.13E-03
59,9.71E-03,1.15E-02,9.75E-03,7.33E-03,5.63E-03,4.46E-03,4.37E-03,4.62E-03,4.85E-03,4.49E-03,4.04E-03,2.64E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.15E-02
60,1.33E-02,1.61E-02,1.50E-02,1.26E-02,1.07E-02,7.90E-03,6.59E-03,6.84E-03,6.07E-03,4.34E-03,2.85E-03,1.64E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.61E-02
61,1.48E-02,1.74E-02,1.54E-02,1.22E-02,9.25E-03,7.71E-03,8.16E-03,8.11E-03,6.68E-03,4.57E-03,2.84E-03,1.54E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.74E-02
62,1.63E-02,1.91E-02,1.70E-02,1.39E-02,1.16E-02,9.52E-03,9.96E-03,1.05E-02,9.42E-03,6.35E-03,3.73E-03,1.93E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.91E-02
63,1.26E-02,1.50E-02,1.32E-02,1.08E-02,8.36E-03,6.33E-03,6.54E-03,7.00E-03,6.21E-03,4.81E-03,3.24E-03,1.73E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.50E-02
64,1.34E-02,1.65E-02,1.56E-02,1.27E-02,8.85E-03,5.23E-03,4.76E-03,4.82E-03,4.01E-03,2.98E-03,2.14E-03,1.32E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.65E-02
65,6.26E-03,8.94E-03,9.51E-03,9.91E-03,9.31E-03,7.49E-03,6.36E-03,4.81E-03,3.69E-03,3.15E-03,2.51E-03,1.53E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.91E-03
66,1.76E-02,2.09E-02,1.69E-02,1.03E-02,6.51E-03,4.72E-03,4.35E-03,4.22E-03,3.80E-03,2.97E-03,2.13E-03,1.31E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.09E-02
67,1.38E-02,1.56E-02,1.28E-02,8.78E-03,6.42E-03,5.25E-03,5.64E-03,6.31E-03,5.63E-03,4.68E-03,3.46E-03,2.02E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.56E-02
68,8.44E-03,9.93E-03,7.77E-03,5.40E-03,4.22E-03,3.95E-03,5.91E-03,8.65E-03,8.92E-03,7.31E-03,4.17E-03,1.87E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.93E-03
69,1.50E-02,1.69E-02,1.39E-02,1.00E-02,6.73E-03,4.93E-03,4.92E-03,5.31E-03,5.62E-03,5.56E-03,5.08E-03,3.44E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.69E-02
70,7.61E-03,9.98E-03,9.41E-03,7.89E-03,6.66E-03,5.51E-03,6.23E-03,7.46E-03,8.07E-03,7.37E-03,6.07E-03,3.46E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.98E-03
71,2.34E-02,2.41E-02,1.97E-02,1.36E-02,9.74E-03,7.18E-03,7.45E-03,7.34E-03,6.64E-03,5.39E-03,3.36E-03,1.75E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.41E-02
72,9.93E-03,1.26E-02,1.15E-02,9.41E-03,6.98E-03,5.07E-03,4.89E-03,4.70E-03,3.80E-03,2.87E-03,2.20E-03,1.39E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.26E-02
73,1.41E-02,1.60E-02,1.38E-02,1.05E-02,7.22E-03,5.98E-03,6.47E-03,6.21E-03,4.91E-03,3.57E-03,2.54E-03,1.51E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.60E-02
74,6.14E-03,7.44E-03,7.80E-03,7.53E-03,6.34E-03,4.93E-03,5.24E-03,6.19E-03,5.96E-03,4.64E-03,2.80E-03,1.58E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.80E-03
75,9.48E-03,1.18E-02,1.01E-02,7.40E-03,5.91E-03,5.05E-03,5.17E-03,4.75E-03,3.75E-03,2.92E-03,2.19E-03,1.35E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.18E-02
76,1.56E-02,1.73E-02,1.46E-02,1.06E-02,7.30E-03,5.99E-03,6.84E-03,7.06E-03,5.98E-03,4.43E-03,2.83E-03,1.55E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.73E-02
