Sa,SaRatio,Ds,SDR1,SDR2,SDR3,SDR4,SDR5,SDR6,SDR7,SDR8,SDR9,SDR10,SDR11,SDR12,PFA1,PFA2,PFA3,PFA4,PFA5,PFA6,PFA7,PFA8,PFA9,PFA10,PFA11,PFA12
0.169,1.225449579,91.71,0.008959812,0.012126979,0.009884331,0.006075641,0.003588355,0.003309614,0.003898396,0.005032236,0.004911828,0.003465202,0.002352794,0.00141378,0.126272841,0.155565765,0.193957667,0.208320474,0.203354447,0.179760518,0.155517733,0.139254258,0.173369754,0.197664592,0.193626322,0.249513085
0.169,1.440702854,2.63,0.009288203,0.010427331,0.008867261,0.00733584,0.006794611,0.006270542,0.006902149,0.006408637,0.005282171,0.003875001,0.002793322,0.0018052,0.460082155,0.437991868,0.360337659,0.355606812,0.38395496,0.367636853,0.333822382,0.330994828,0.322560303,0.2396715,0.25250095,0.358451308
0.169,1.54079495,4.93,0.004662299,0.006479343,0.007019544,0.006677087,0.005764879,0.004571597,0.004389484,0.004075207,0.003173296,0.002535808,0.001934415,0.001212923,0.130572522,0.160431365,0.176416187,0.178939161,0.175574734,0.166829658,0.147950023,0.135031777,0.148423017,0.155970896,0.174753504,0.21831238
0.169,1.506339335,9.04,0.007478443,0.008811657,0.007478881,0.005207192,0.00367253,0.003618091,0.003742655,0.003693268,0.003061576,0.002342387,0.001826004,0.001182528,0.208383753,0.202703269,0.179958822,0.15333777,0.165294989,0.150142103,0.159103483,0.162657534,0.161578946,0.1608769,0.171378153,0.231469122
0.169,1.487693617,15.38,0.004422911,0.005692032,0.005272495,0.004570372,0.00384638,0.003249748,0.004784555,0.006918954,0.007136893,0.005372181,0.003036966,0.001586855,0.185829109,0.209431085,0.24063691,0.253577379,0.233801785,0.197769293,0.176826623,0.178003377,0.161780593,0.233017291,0.207717392,0.267793833
0.169,1.458634184,27.84,0.008315881,0.010028378,0.00851645,0.006246451,0.004500479,0.003707391,0.004185397,0.005261883,0.005680841,0.006725035,0.006389874,0.003808595,0.619403056,0.531239938,0.436758664,0.440087257,0.422643616,0.439406708,0.453211344,0.419521575,0.342961616,0.28688215,0.335414401,0.446656125
0.169,1.464965137,50.86,0.009302572,0.011841967,0.010338067,0.007750552,0.005206668,0.00359547,0.003995926,0.0044761,0.00369612,0.002681544,0.00199172,0.001306083,0.213370925,0.212622139,0.193656265,0.182452149,0.167316001,0.195653538,0.1856341,0.164036102,0.188575286,0.175067524,0.185405828,0.265768829
0.169,1.568167728,84.83,0.007293831,0.009849569,0.00826674,0.005765353,0.004442261,0.00390758,0.004488734,0.004718733,0.003659969,0.002596066,0.001923724,0.001194755,0.175391539,0.206798135,0.217284825,0.205465281,0.194775506,0.187003647,0.15552503,0.153222644,0.159837742,0.162058775,0.185026529,0.219355465
0.169,1.772223513,2.74,0.006841073,0.009003632,0.008608818,0.007730861,0.006668138,0.005793139,0.005340292,0.004922089,0.00443603,0.003966756,0.002870336,0.001450412,0.266791989,0.289857358,0.296847615,0.293666801,0.293228671,0.249811324,0.317829767,0.244238967,0.232013947,0.207123685,0.227398088,0.260160179
0.169,1.791860791,4.932,0.007803199,0.008047591,0.005405245,0.003491111,0.003670348,0.004830067,0.006315251,0.007663934,0.008004005,0.006321164,0.003395904,0.001588861,0.391387666,0.333338513,0.323393396,0.327129992,0.303029396,0.316192049,0.266950453,0.248650523,0.175195006,0.269473061,0.294347294,0.305312354
0.169,1.819514306,8.76,0.004424824,0.004715144,0.00390663,0.003519481,0.003883035,0.003854386,0.004782645,0.006109847,0.006443913,0.005736534,0.004058308,0.00192585,0.288719148,0.292305657,0.319558327,0.34245224,0.289815571,0.293374978,0.295114222,0.323738156,0.27713274,0.242902025,0.261877625,0.316044341
0.169,1.792954504,15.93,0.006561864,0.009261884,0.009210691,0.00873604,0.006806176,0.00457673,0.004184053,0.004972462,0.006578733,0.008255096,0.007630463,0.003908877,0.706800052,0.619707097,0.562906061,0.445354261,0.426431339,0.449368117,0.496104999,0.424600596,0.297782826,0.325503445,0.335658275,0.392781352
0.169,1.893889658,27.58,0.006261798,0.008352949,0.00789888,0.006900419,0.005810217,0.004900447,0.004629878,0.004002552,0.003612588,0.002863544,0.002207984,0.001372116,0.225461469,0.21418749,0.217376247,0.206650407,0.207735452,0.192071396,0.187738972,0.196458298,0.186423919,0.184312641,0.200512287,0.264519101
0.169,1.766159698,51.4,0.006413614,0.009658175,0.009977214,0.008653309,0.006729229,0.005150165,0.006454695,0.009145333,0.010762102,0.009685182,0.007973901,0.004057105,0.577694484,0.463620306,0.355324165,0.331019736,0.318187594,0.346995934,0.35188345,0.318863507,0.289120192,0.309851733,0.336526858,0.390831158
0.169,1.756766305,79.75,0.006346217,0.008436954,0.007812413,0.0066123,0.005173319,0.003825791,0.004252223,0.004398923,0.003506204,0.002509152,0.001837392,0.001179067,0.119124393,0.130433269,0.127661334,0.12711972,0.134605556,0.13679494,0.130808824,0.129125804,0.142030442,0.163479138,0.167143044,0.194797187
0.169,2.168260351,2.815,0.005609542,0.008054604,0.00834618,0.00772337,0.007351768,0.006086723,0.005388192,0.005364144,0.004562634,0.003200586,0.002257035,0.00141108,0.168688656,0.177316952,0.199489915,0.165974237,0.164801499,0.179927646,0.183783548,0.186978653,0.185203551,0.18446086,0.196339692,0.24486395
0.169,2.296544179,4.72,0.006607895,0.009035176,0.007712878,0.005172352,0.003943066,0.00421129,0.004747294,0.004883521,0.004441015,0.00364322,0.002746807,0.001706096,0.421178741,0.411594007,0.419830547,0.414443157,0.346568568,0.283964115,0.311421893,0.276388371,0.334816627,0.356085636,0.228281632,0.358005361
0.169,2.16714789,8.77,0.003681869,0.004578313,0.005269046,0.005957423,0.006040132,0.005087258,0.005233512,0.005794659,0.00524097,0.003689015,0.002122415,0.001389966,0.290414931,0.261236776,0.241688456,0.252228475,0.258240591,0.25155511,0.215483546,0.207114711,0.223398288,0.291901362,0.252686578,0.278379156
0.169,2.236545137,16.06,0.004668523,0.006161072,0.006157033,0.005627676,0.004544193,0.00358079,0.004008981,0.005572929,0.00702056,0.007541928,0.006249928,0.002791013,0.292242406,0.315864667,0.314024903,0.303191865,0.299714009,0.298684253,0.281812906,0.255392471,0.206939285,0.249599897,0.272931583,0.329390575
0.169,2.20938026,28.28,0.005551273,0.007131924,0.005798146,0.004212776,0.003581792,0.003200915,0.003001105,0.002711383,0.002413874,0.002012195,0.001542119,0.001009037,0.072252388,0.084805789,0.100194957,0.109293795,0.108130893,0.106563095,0.116000578,0.112069474,0.121495353,0.126878656,0.13697337,0.158708948
0.169,2.217453202,51.01,0.00607292,0.007837836,0.007360485,0.00625654,0.004843589,0.00370216,0.003455872,0.003537743,0.003009138,0.002477392,0.001929017,0.001254922,0.141562678,0.144157255,0.160125913,0.16155476,0.166778457,0.16730425,0.153453038,0.157298583,0.15808409,0.15834525,0.176972194,0.223463144
0.169,2.562486513,80.5,0.004715218,0.005848464,0.005295343,0.004173138,0.003557243,0.003275052,0.003825329,0.003854776,0.003443992,0.002706492,0.001910149,0.001232967,0.167180135,0.164049176,0.172191129,0.161792585,0.191824061,0.192235191,0.164563401,0.16320223,0.168193991,0.172237791,0.181651184,0.227363427
