#Num,1-PFA-1-1,1-PFA-10-1,1-PFA-11-1,1-PFA-12-1,1-PFA-2-1,1-PFA-3-1,1-PFA-4-1,1-PFA-5-1,1-PFA-6-1,1-PFA-7-1,1-PFA-8-1,1-PFA-9-1,1-PID-1-1,1-PID-10-1,1-PID-11-1,1-PID-12-1,1-PID-2-1,1-PID-3-1,1-PID-4-1,1-PID-5-1,1-PID-6-1,1-PID-7-1,1-PID-8-1,1-PID-9-1,1-PRD-1-1
0,,,,,,,,,,,,,0.4972924401729421,0.17672465941635535,0.12353333254625352,0.07471050306862517,0.539660577144586,0.5479165660269827,0.5952015891146312,0.2852945453658157,0.2647913195263357,0.19289813189062902,0.23303581481902683,0.21224931702564181,0.6807148075764111
1,,,,,,,,,,,,,0.5716261662064911,0.16475240836032762,0.17838060957660315,0.05602841552836501,0.34863184181334145,0.3752033474020111,0.39702647027135485,0.3345320071587835,0.22757773390179828,0.3098823849974156,0.3546803352854628,0.2790754276455341,0.695649805347956
2,,,,,,,,,,,,,0.17720094630853753,0.16699738127815814,0.10777198216055993,0.08191741602819375,0.45061012500772396,0.48387212139549296,0.40989154455923393,0.21697365263157642,0.28398955911396606,0.3682823540454805,0.16543875015296292,0.21723403532382274,0.6785048195487265
3,,,,,,,,,,,,,0.4790940914141006,0.276297323891511,0.11210167542319621,0.06257874262288338,0.7416255218580744,0.3734456929288256,0.26633693877794845,0.31544313795044376,0.17343585916237106,0.20170156255623223,0.2186264371931578,0.25547563642279913,0.4269210005073351
4,,,,,,,,,,,,,0.23760322395852945,0.17527742451157796,0.1751347008766762,0.07933283384045296,0.7047806627298586,0.4878892499609753,0.4044702230619323,0.3259534624179377,0.29702391221947316,0.19457513161186907,0.3156323505466839,0.22521501210699513,0.9441303530652587
5,,,,,,,,,,,,,0.7108711550788823,0.19632850763205342,0.14318671076500494,0.07207235527116108,0.6207827790531948,0.7164313121145908,0.3506005146165027,0.18833131855054147,0.2430397460020556,0.2214042946020479,0.22094684828259617,0.1705598067704588,0.34857766717638106
6,,,,,,,,,,,,,0.36770240737318005,0.18784306707438964,0.10326533241677527,0.08826902040702007,0.638430418874206,0.42661026079211906,0.5171954630590901,0.3913694343612757,0.260861288653507,0.27458968532000744,0.4147760058594883,0.1902951070401672,0.7788835876395337
7,,,,,,,,,,,,,0.3608338310420898,0.201841170933756,0.15048229168346922,0.08868161649373899,0.5753872170741527,0.6121257178768335,0.5748699602948695,0.24399761416105376,0.26735473250644914,0.30570573814908436,0.28916493283253625,0.3301764050949924,0.7615458819883991
8,,,,,,,,,,,,,0.25528157465611084,0.2862700555526703,0.11583718007540851,0.08373201699648787,0.5153228399149073,0.7594668127783512,0.38746249145665895,0.17655973645086687,0.17354444394038493,0.22439940011466752,0.41608326123486733,0.24639404679932295,0.565261180397717
9,,,,,,,,,,,,,0.39642198466841716,0.18246371505651637,0.09058283460202371,0.10816548560627291,0.7474632983362546,0.43210580408750565,0.476281632481532,0.2518436332078236,0.3747417207127693,0.2314959285074125,0.2055913893737102,0.1913623457729981,0.5284428405780146
